category,city,email,name,phones,products,site,social
Строительные материалы,Москва,,СтройПартнер,+7 (495) 215-00-80,,st-par.ru,"http://facebook.com/stparmoscow,http://instagram.com/stparmoscow,http://vk.com/stparmoscow"
Строительные материалы,Москва,,Петрович,+7 (499) 334-88-88,,moscow.petrovich.ru,"https://vk.com/petrovichstd,https://www.facebook.com/petrovichstd,https://www.instagram.com/petrovichstd,https://www.youtube.com/user/petrovichstd"
Строительные материалы,Москва,,Стройка,+7 (499) 755-83-90,,,"https://viber.click/79256391259,https://wa.me/79256391259,https://www.instagram.com/stroyka2018msk"
Строительные материалы,Москва,,ОБИ,+7 (495) 777-75-75,,www.obi.ru,"http://vk.com/obiru,https://www.facebook.com/obirussia,https://www.instagram.com/obi.russia/,https://www.youtube.com/channel/UCW9EvxjrRSCKC6AE3Lt_uMA"
Строительные материалы,Москва,,"Дизайн ремонта, строительный супермаркет",8 (800) 301-51-51,,kraska.ru,"https://instagram.com/design_remonta,https://vk.com/design_remonta,https://www.facebook.com/design.remonta"
Строительные материалы,Москва,,Строймаркет Сатурн,8 (800) 100-21-12,,msk.saturn.net,"https://ok.ru/saturnstro,https://www.facebook.com/saturnstroymarket"
Строительные материалы,Москва,,Петрович,+7 (499) 334-88-88,,moscow.petrovich.ru,"https://vk.com/petrovichstd,https://www.facebook.com/petrovichstd,https://www.instagram.com/petrovichstd,https://www.youtube.com/user/petrovichstd"
Торгово-производственная компания,Москва,,Производственное предприятие,,,,
Торгово-производственная компания,Москва,,"Пласт-Продукт, торгово-производственная компания",8 (800) 555-17-56,,plast-product.ru,"https://twitter.com/plastproduct,https://vk.com/plastproduct,https://www.facebook.com/plastproduct,https://www.youtube.com/user/PLASTPRODUCT/"
Торгово-производственная компания,Москва,,"Производственно-торговая компания Экзотика, офис",+7 (495) 390-67-88,,melnikov-tex.ru,"https://viber.click/79687772772,https://vk.com/melnikovtex,https://wa.me/79687772772,https://www.facebook.com/Mikhail,https://www.instagram.com/melnikovtex"
Строительные материалы,Москва,,Вира-Стройматериалы,+7 (495) 730-01-98,,www.virashop.ru,"https://twitter.com/@shopviraru,https://vk.com/virashopru,https://www.facebook.com/shopvira.ru,https://www.youtube.com/c/ShopviraRu"
Торгово-производственная компания,Москва,,Торгово-производственная компания Феникс Ам,+7 (495) 673-70-66,,fenixrezaki.ru,
Торгово-производственная компания,Москва,,"Торгово-производственная компания, склад",8 (800) 505-79-25,,free-nrg.ru,"http://facebook.com/groups/591714747672341,http://instagram.com/free_nrg.ru,https://twitter.com/@free_nrg,https://vk.com/free__nrg,https://www.youtube.com/channel/UCvLzLCFnZsqiC3nnx3ozuFA"
Торгово-производственная компания,Москва,,МосГорЦех,+7 (495) 260-12-80,,mosgorcex.ru,https://www.instagram.com/mosgorcex
Торгово-производственная компания,Москва,,Торговая Промышленная Компания,+7 (905) 116-77-15,,tpcompany.ru,"https://twitter.com/ZhKgulAfIn7SNB9,https://vk.com/public199116657"
Торгово-производственная компания,Москва,,Торгово-производственная компания Ютеко,+7 (925) 517-14-61,,www.uteco.ru,http://vk.com/utecomsk
Торгово-производственная компания,Москва,,Торгово-производственная компания Натурекс,,,www.naturex.com,https://twitter.com/naturexgroup
Строительная компания,Москва,,Фодд,+7 (495) 276-20-66,,www.fodd.ru,
Строительная компания,Москва,,Велесстрой,+7 (495) 276-06-83,,www.velesstroy.com,"https://ok.ru/velesstroycom,https://twitter.com/velesstroy,https://vk.com/public139639073,https://www.facebook.com/velesstroy,https://www.instagram.com/velesstroy_com,https://www.youtube.com/channel/UC6VaeYMTjiN2JjiXL4FZBAw"
Строительная компания,Москва,,Точка Решений,+7 (495) 127-79-90,,tochkaresheny.ru,
Строительная компания,Москва,,СК Небо,+7 (495) 172-46-03,"Евро ремонт,Капитальный ремонт,Косметический ремонт",sknebo.ru,https://www.instagram.com/sk.nebo/
Строительная компания,Москва,,Дон-Строй Инвест,+7 (495) 463-08-81,,donstroy.com,"http://facebook.com/pg/dsinv,http://youtube.com/channel/UC7w4mrhPBCjLOdNXvpM07VQ,https://vk.com/dsinv,https://www.instagram.com/donstroy_msk"
Строительная компания,Москва,,Boes Construction,+7 (495) 916-68-68,,www.boesconstruction.com,http://facebook.com/boes-construction-167405880475709
Строительная компания,Москва,,Стройка,+7 (499) 755-69-50,,stroikamsk.ru,https://www.instagram.com/stroyka2018msk
Строительная компания,Москва,,Строймаркет К1-Строй,+7 (499) 938-41-20,,k1-stroy.ru,"https://ok.ru/k1stroy,https://viber.click/89268453322,https://vk.com/k1stroy,https://wa.me/89268453322,https://www.facebook.com/k1stroy.ru/,https://www.instagram.com/k1stroy/"
Строительная компания,Москва,,Строймаркет К1-Строй,+7 (499) 938-41-20,,k1-stroy.ru,"https://ok.ru/k1stroy,https://viber.click/89268453322,https://vk.com/k1stroy,https://wa.me/89268453322,https://www.facebook.com/k1stroy.ru/,https://www.instagram.com/k1stroy/"
Строительная компания,Москва,,Строймаркет К1-Строй,+7 (499) 938-41-20,,k1-stroy.ru,"https://ok.ru/k1stroy,https://viber.click/89268453322,https://vk.com/k1stroy,https://wa.me/89268453322,https://www.facebook.com/k1stroy.ru/,https://www.instagram.com/k1stroy/"
Строительная компания,Москва,,Хонка,+7 (495) 921-30-01,,www.honka.ru,"https://vk.com/honka,https://www.facebook.com/205372702810686,https://www.instagram.com/honka_russia,https://www.youtube.com/channel/UCYCUU-j-GuBMe1VMgCM4a7Q"
Металлопрокат,Москва,,Бетон Смарт,+7 (495) 101-12-53,,beton-smart.ru,"https://viber.click/84951011253,https://wa.me/89257404698"
Металлопрокат,Москва,,"Ариэль Металл, офис",+7 (495) 981-41-45,,arielmetal.ru,
Металлопрокат,Москва,,А-металл,+7 (495) 120-35-87,,a-metall.com,https://www.instagram.com/a_metall_com/
Металлопрокат,Москва,,Рекара,+7 (495) 136-32-54,,moscow.rekara.info,
Металлопрокат,Москва,,Металл-Энергия,+7 (495) 120-09-10,,www.metall-energy.ru,"http://twitter.com/metallenergy,http://vk.com/metallenergy,https://www.facebook.com/metallenergy,https://www.instagram.com/metallenergy"
Металлопрокат,Москва,,ГК Прочная Сталь,+7 (499) 938-49-24,,metallurg-moskva.ru,"https://www.facebook.com/prochnayastal,https://www.instagram.com/prochnaya_stal"
Металлопрокат,Москва,,Металлсервис,+7 (495) 921-47-99,,mc.ru,"http://facebook.com/oaometallservice,http://instagram.com/metallservice,http://twitter.com/Oaometallservis,http://youtube.com/channel/UCLGBmQh7Qr8rCe03VDzzGLA,https://vk.com/blog_evgeniy_gorbatov"
Металлопрокат,Москва,,Металлсервис,8 (800) 555-11-55,,mc.ru,"http://twitter.com/Oaometallservis,http://youtube.com/channel/UCLGBmQh7Qr8rCe03VDzzGLA,https://www.facebook.com/oaometallservice,https://www.instagram.com/metallservice"
Металлопрокат,Москва,,Металлсервис,+7 (495) 925-11-55,,mc.ru,"http://youtube.com/channel/UCLGBmQh7Qr8rCe03VDzzGLA,https://twitter.com/Oaometallservis,https://www.facebook.com/oaometallservice,https://www.instagram.com/metallservice"
Строительная компания,Московская область,,Про-Дск,+7 (930) 103-77-07,,pro-dsk.ru,"https://ok.ru/profile/580276985289,https://twitter.com/prodsk_doma,https://viber.click/79201209699,https://vk.com/doma_prodsk,https://www.facebook.com/prodsk.dom,https://www.instagram.com/pro_dsk,https://www.youtube.com/channel/UCLMUNCfS4RANRo7wIVvRuUQ"
Строительная компания,Московская область,,Петрович,+7 (499) 334-88-88,,moscow.petrovich.ru,"https://vk.com/petrovichstd,https://www.facebook.com/petrovichstd,https://www.instagram.com/petrovichstd,https://www.youtube.com/user/petrovichstd"
Металлопрокат,Московская область,,Брок-Инвест-Сервис,+7 (495) 980-98-80,,www.brokinvest.ru,
Металлопрокат,Московская область,,Металлопрокат,+7 (916) 747-92-90,,forgemetall.ru,
Торгово-производственная компания,Москва,,ТПК СКМ,+7 (495) 128-98-94,,ckm-mtc.ru,
Металлопрокат,Московская область,,Торговый дом МС Групп,+7 (495) 212-19-06,,ms-gp.ru,
Металлопрокат,Московская область,,Робметаллсталь,+7 (495) 211-19-99,,robmetalstal.ru,"https://vk.com/club174600576,https://www.facebook.com/robmetallstal/,https://www.instagram.com/robmetallstal/"
Металлопрокат,Московская область,,Металлоторг,+7 (499) 938-67-20,,www.metallotorg.ru,
Металлопрокат,Московская область,,Металлобаза Солинг-Н Металлопрокат Сергиев Посад,+7 (495) 763-55-66,,soling-n.ru,"https://viber.click/74957635566,https://wa.me/79637635566,https://www.youtube.com/channel/UC3-xi1fe88D2mR1rbX1TvlQ?view_as=subscriber"
Цветной металл,Москва,,Металлолома,+7 (916) 887-04-05,"Латунь,Эл-тех,Свинец",,https://wa.me/89167951861
Чёрный металлопрокат,Москва,,Омега Металл,+7 (495) 334-14-01,,www.omegametall.ru,
Чёрный металлопрокат,Москва,,Прием цветного металла,+7 (925) 451-45-90,"Медь,Латунь,Аллюминий",www.mskmetall.com,"https://viber.click/79254514590,https://wa.me/79254514590"
Чёрный металлопрокат,Москва,,Стальной Выбор,8 (800) 555-20-36,,stvybor.ru,
Чёрный металлопрокат,Москва,,Русметпром,+7 (495) 132-00-92,,www.rusmetprom.ru,
Чёрный металлопрокат,Москва,,МетРенЦентр - металлопрокат,+7 (495) 796-69-82,,metallrc.ru,"https://viber.click/79267918110,https://vk.com/metallrc,https://www.facebook.com/groups/792125080953548/"
Чёрный металлопрокат,Москва,,Приём лома,+7 (925) 434-53-80,,prinimaemlom.ru,"https://vk.com/metalldot,https://wa.me/79254345380"
Чёрный металлопрокат,Москва,,Арсеналмет,+7 (495) 749-55-59,,reallom.ru,"https://t.me/+7,https://viber.click/79268389984,https://wa.me/79268389984"
Чёрный металлопрокат,Москва,,Элл Металл,+7 (495) 761-21-55,,ell-metall.ru,
Чёрный металлопрокат,Москва,,Приём цветных металлов,+7 (962) 956-84-83,,,"https://t.me/+79629568483,https://viber.click/79877373736,https://wa.me/79877373736"
Металлопрокат,Белгородская область,,Металлоторг,+7 (4722) 50-90-14,,www.metallotorg.ru,
Торгово-производственная компания,Московская область,,Производственно-торговая компания Арго,+7 (499) 753-33-40,,pk-argo.ru,"https://vk.com/pk.argo,https://wa.me/79031978167,https://www.facebook.com/companyArgo,https://www.instagram.com/argo_towel_rails/,https://www.youtube.com/channel/UCBMgb9wLl7PRfGce2FpZ1Yw"
Строительная компания,Московская область,,Химкинское СМУ Моис-1,+7 (495) 799-97-11,,www.mois1.ru,"http://vk.com/mois_1,https://instagram.com/mois1.ru,https://www.facebook.com/mois1.ru/"
Строительная компания,Московская область,,Олимпия,+7 (495) 796-11-97,,www.skmsk.ru,"https://vk.com/skmskru,https://www.facebook.com/skmsk.ru/,https://www.youtube.com/channel/UC-ZmtOIWlhBf6vqQ_ch4T9w"
Строительная компания,Московская область,,Гуд Вуд,8 (800) 333-11-11,,www.gwd.ru,"https://ok.ru/goodwood,https://t.me/RussiaBuild,https://vk.com/gwdru,https://wa.me/79661187966,https://www.facebook.com/gwd.ru/,https://www.instagram.com/gwd.ru/,https://www.youtube.com/channel/UC1O_yusBAYhY2TWRMKaMFkQ"
Строительная компания,Московская область,,Веста-СФ,+7 (495) 380-05-45,,www.vesta-sf.ru,
