category,city,email,name,phones,products,site,social
Строительные материалы,Москва,,Стальные двери Torex,8 (800) 100-45-05,,torex.ru,"https://ok.ru/torex,https://vk.com/torex.official,https://www.facebook.com/torex.official,https://www.youtube.com/user/torexrussia"
Строительные материалы,Москва,,Петрович,+7 (499) 334-88-88,,moscow.petrovich.ru,"https://vk.com/petrovichstd,https://www.facebook.com/petrovichstd,https://www.instagram.com/petrovichstd,https://www.youtube.com/user/petrovichstd"
Строительные материалы,Москва,,Фанкор,+7 (495) 729-61-15,,www.fancorstroy.ru,"https://ok.ru/fankor.stroy,https://twitter.com/fancor2014,https://vk.com/fancor2016,https://wa.me/79671825221,https://www.facebook.com/pg/vsedomapostroim/shop,https://www.instagram.com/kraskioboiru,https://www.youtube.com/channel/UCcy2h0R8fuCWz0gg71qbCMA"
Строительные материалы,Москва,,ОБИ,+7 (495) 777-75-75,,www.obi.ru,"http://vk.com/obiru,https://www.facebook.com/obirussia,https://www.instagram.com/obi.russia/,https://www.youtube.com/channel/UCW9EvxjrRSCKC6AE3Lt_uMA"
Строительные материалы,Москва,,Строймаркет,+7 (495) 769-58-55,,www.santechnika19.ru,"https://viber.click/79260396161,https://www.instagram.com/santechnika19"
Строительные материалы,Москва,,Антика,+7 (499) 577-02-03,,www.antica.su,"https://vk.com/antica_su,https://wa.me/74957755894,https://www.instagram.com/antica.su"
Строительные материалы,Москва,,GermaFleksGroup,+7 (499) 322-10-11,,plexpart.ru,https://www.instagram.com/plexpart
Строительные материалы,Москва,,Brick Stone,+7 (495) 649-45-12,,b-stone.ru,"https://viber.click/9263226828,https://wa.me/9263226828,https://www.instagram.com/brick_stone"
Строительные материалы,Москва,,Стройматериалы Строймартик,+7 (499) 455-00-27,,stroymartik.ru,"https://viber.click/79651558550,https://wa.me/79651558550"
Строительные материалы,Москва,,Kremen,+7 (861) 213-94-62,,kremen.ru,"https://vk.com/kremenru,https://www.facebook.com/kremen.ru,https://www.instagram.com/kremen_ru"
Торгово-производственная компания,Москва,,Северная Торгово-промышленная Компания,+7 (495) 545-44-71,,,
Торгово-производственная компания,Москва,,ТПК СКМ,+7 (495) 128-98-94,,ckm-mtc.ru,
Торгово-производственная компания,Москва,,"Производственно-торговая компания Экзотика, офис",+7 (495) 390-67-88,,melnikov-tex.ru,"https://viber.click/79687772772,https://vk.com/melnikovtex,https://wa.me/79687772772,https://www.facebook.com/Mikhail,https://www.instagram.com/melnikovtex"
