category,city,email,name,phones,products,site,social
Строительная компания,Москва,,Микстулс,+7 (499) 377-77-01,"Герметик PENOSIL General силиконовый многофункциональный белый 310мл,РИЧ Пена 65 эко профи 900гр,Перфоратор электрический RHV-1100-26, SDS-plus, 1100Вт, 4Дж, 3 реж.// Denzel",mixtools.ru,"http://www.instagram.com/mixtools_msk,https://vk.com/mixtoolsmsk"
Строительная компания,Москва,,Терем Хаус,+7 (926) 146-07-47,,tm-house.ru,https://www.instagram.com/terem_house
Строительная компания,Москва,,Свод-Строй,+7 (495) 984-82-74,,www.svod.ru,"https://instagram.com/svod_stroy,https://ok.ru/ooosksvods,https://vk.com/svod_stroy,https://www.facebook.com/svod.ru"
Строительная компания,Москва,,Гранель,+7 (499) 577-01-68,,www.granelle.ru,"https://twitter.com/@gk_granelle,https://vk.com/granelle_group,https://www.facebook.com/granelle.ru,https://www.instagram.com/gk_granelle,https://www.youtube.com/channel/UCxrNN-zjDh74HfWm5A9Plrw"
Строительная компания,Москва,,Хонка,+7 (495) 921-30-01,,www.honka.ru,"https://vk.com/honka,https://www.facebook.com/205372702810686,https://www.instagram.com/honka_russia,https://www.youtube.com/channel/UCYCUU-j-GuBMe1VMgCM4a7Q"
Металлопрокат,Москва,,Трубная металлургическая компания,+7 (495) 775-76-00,,tmk-group.ru,"http://instagram.com/tmk_group,http://twitter.com/TMKgroup,http://www.youtube.com/user/OAOTMK,https://facebook.com/tmkgroupru"
Металлопрокат,Москва,,А-металл,+7 (495) 120-35-87,,a-metall.com,https://www.instagram.com/a_metall_com/
Металлопрокат,Москва,,Рекара,+7 (495) 136-32-54,,moscow.rekara.info,
Металлопрокат,Москва,,Металл-Энергия,+7 (495) 120-09-10,,www.metall-energy.ru,"http://twitter.com/metallenergy,http://vk.com/metallenergy,https://www.facebook.com/metallenergy,https://www.instagram.com/metallenergy"
Металлопрокат,Москва,,Металл Плюс Москва,+7 (926) 000-92-88,,metallplus.com,"https://viber.click/89272533955,https://vk.com/metallplusmsk,https://wa.me/89272533955,https://www.facebook.com/metallplusmsk,https://www.instagram.com/metallplus"
